,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
72,0.49000001,HTI,LatAm,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
55,0.41800001,ERI,SubSaharian,1007.28,,,0.62,,3.338293075561523
29,0.514,CMR,SubSaharian,2658.51,,61.099998474121094,6.1900001,18.799999,4.1036715507507315
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176
148,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,,6.1290650367736825
44,0.773,CUB,LatAm,5899.9399,,,4.369999900000001,36.099998,11.05880069732666
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.559999900000001,,6.416542530059815
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375
164,0.48800001,SDN,SubSaharian,,,,,,8.4287748336792
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
35,0.84500003,CHL,LatAm,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718
16,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
49,0.72399998,DMA,Caribbean,12613.72,,,5.46,,5.485832691192627
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265138,9.090000199999999,42.099998,10.36881160736084
131,0.54799998,PAK,SouthAsia,2855.55,186.19000244140634,69.30000305175781,0.039999999,22.6,2.613916397094727
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
154,0.43099999,SLE,SubSaharian,979.9500099999999,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
61,0.69400001,GAB,SubSaharian,14525.28,,42.400001525878906,8.8599997,,3.437471628189087
143,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
109,0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283
42,0.77499998,CRI,LatAm,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259032
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734862,2.3699999,14.1,3.503350019454956
53,0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.8040790557861333
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306
27,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736327
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709
166,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662
70,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
103,0.47299999,MWI,SubSaharian,938.3499800000001,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
159,,SOM,SubSaharian,1436.74,,,0.0,,
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,7.5999999046325675,10.37,35.900002,5.880693435668945
149,0.565,STP,SubSaharian,2150.55,,,5.6900001,,8.353466033935549
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
178,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.7423648834228525
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734862,0.51999998,22.299999,4.169077873229981
145,0.76200002,KNA,Caribbean,11237.75,,,8.680000300000001,,5.080365180969238
162,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,3.7999999523162837,9.25,30.299999,9.029886245727539
106,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121
179,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877
8,0.93699998,AUS,WesternDem,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745117
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.100000381469732,4.380000099999999,11.6,7.201298713684082
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675
184,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.4000000953674316,11.5,28.1,11.53951930999756
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001000000004,,7.340400695800781
62,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,17.79999923706055,6.130000099999999,30.0,7.416659355163574
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.4000000953674316,10.75,23.200001,7.783196449279785
21,0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,15.699999809265142,6.579999900000001,,5.788949966430664
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.199999809265142,9.7200003,26.700001,3.369816780090332
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.7000000476837163,9.6099997,24.1,11.659268379211431
118,0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
47,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
100,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880128
102,0.51099998,MDG,SubSaharian,822.62,,40.900001525878906,0.87,,3.041355133056641
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.4000000953674316,8.680000300000001,25.700001,10.89729309082031
60,0.47,DJI,SubSaharian,2685.5,,,0.38,,10.56825637817383
40,0.58999997,COG,SubSaharian,2369.8401,,,3.8199998999999996,18.5,5.151411533355713
23,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
37,,TWN,EastAsia,33965.871,23.43400001525879,3.9345641136169434,,,
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
